scenario,governance_setting,governance_delta,governance_theta,governance_R_max,seed,run_length,cumulative_revenue,revenue_per_vehicle,fleet_utilization,unmet_demand_rate,avg_unmet_demand,price_volatility,spatial_imbalance,imbalance_persistence,oscillation_index,overload_frequency,low_idle_frequency,peak_unmet_demand,delta_intervention,adaptive_active_ratio,service_rate,demand_supply_mismatch,persistence_demand_supply_mismatch,vehicle_concentration
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,1,500,169035.27729191942,1408.6273107659952,0.4301333333333333,0.4583616422401242,18.89,5.703009432452384,0.11676944444444445,0.066,0.2240325865580448,0.586,0.0,125,1.5,0.108,0.5416383577598758,0.11676944444444445,0.066,15.392779133849295
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,2,500,164686.92486921055,1372.3910405767544,0.4179666666666666,0.4388730938226932,16.98,5.876973585922018,0.11668055555555555,0.068,0.2016293279022403,0.63,0.0,89,1.5,0.136,0.5611269061773068,0.11668055555555555,0.068,16.341813393687318
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,3,500,170816.01323206,1423.4667769338334,0.4247833333333333,0.416147428450734,15.762,5.377104673315851,0.11338055555555555,0.016,0.2373225152129817,0.576,0.0,75,1.5,0.084,0.583852571549266,0.11338055555555555,0.016,15.62727688016339
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,4,500,170460.484787777,1420.5040398981416,0.4265333333333333,0.4445616679226325,17.698,6.077073961454681,0.11575555555555556,0.084,0.2293762575452716,0.574,0.0,91,1.5,0.156,0.5554383320773675,0.11575555555555556,0.084,15.694902705391092
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,5,500,160180.68960932537,1334.8390800777115,0.4312666666666667,0.4731789949181254,20.112,4.8349363671786305,0.11835,0.108,0.2206477732793522,0.604,0.0,104,1.5,0.158,0.5268210050818747,0.11835,0.108,15.531003984897392
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,6,500,153417.8075140418,1278.4817292836815,0.4308833333333333,0.4163879598662207,15.936,4.566708506865985,0.11261666666666667,0.038,0.2404040404040404,0.544,0.0,85,1.5,0.092,0.5836120401337792,0.11261666666666667,0.038,15.98879899812641
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,7,500,171800.58506854283,1431.671542237857,0.427,0.4215291224030562,16.11,5.878379601659041,0.11396388888888889,0.05,0.2107438016528925,0.582,0.0,86,1.5,0.104,0.5784708775969438,0.11396388888888889,0.05,15.231468085628547
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,8,500,163398.65519571444,1361.655459964287,0.4243333333333333,0.4412016734714451,17.506,5.262705123517513,0.11644444444444445,0.07,0.2515090543259557,0.596,0.0,89,1.5,0.134,0.5587983265285549,0.11644444444444445,0.07,16.051638070501816
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,9,500,159869.7193070999,1332.2476608924994,0.4277,0.4292324302092437,16.698,6.0406374109825824,0.1148388888888889,0.052,0.2246963562753036,0.594,0.0,97,1.5,0.13,0.5707675697907563,0.1148388888888889,0.052,16.027426453821292
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,10,500,155718.26877048504,1297.652239754042,0.4351666666666666,0.433902025341714,17.396,5.098869528007406,0.11374166666666667,0.066,0.2373225152129817,0.55,0.0,103,1.5,0.108,0.5660979746582859,0.11374166666666667,0.066,15.653913709893247
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,11,500,169587.77634147488,1413.2314695122907,0.4176333333333333,0.4739971730759857,19.45,5.547830989785956,0.119875,0.118,0.2327935222672064,0.638,0.0,109,1.5,0.234,0.5260028269240142,0.119875,0.118,16.23706993859912
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,12,500,151482.46676721497,1262.3538897267913,0.4263,0.3881578947368421,14.042,6.517442258739875,0.11098888888888889,0.032,0.2219959266802444,0.522,0.0,71,1.5,0.082,0.611842105263158,0.11098888888888889,0.032,15.376247583675362
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,13,500,159019.64414929217,1325.1637012441015,0.4330166666666666,0.3905119416789075,14.356,5.314006432532547,0.11046111111111111,0.018,0.2576064908722109,0.51,0.002,81,1.5,0.07,0.6094880583210924,0.11046111111111111,0.018,15.118416190325334
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,14,500,162960.55155817897,1358.004596318158,0.42435,0.430483502801411,16.596,5.576390843277651,0.11545,0.074,0.2048192771084337,0.608,0.0,88,1.5,0.138,0.5695164971985889,0.11545,0.074,15.496517512838171
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,15,500,138858.87184855845,1157.1572654046538,0.4475833333333333,0.3535135732846796,12.788,4.741994233387099,0.10587222222222223,0.01,0.2208835341365461,0.498,0.0,62,1.5,0.034,0.6464864267153204,0.10587222222222223,0.01,15.011618869544192
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,16,500,186364.0642359425,1553.033868632854,0.4189166666666666,0.4460288255136461,17.454,6.042773145447295,0.11694722222222223,0.078,0.1805273833671399,0.642,0.0,98,1.5,0.136,0.5539711744863538,0.11694722222222223,0.078,15.757941366837835
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,17,500,160532.47111384931,1337.770592615411,0.4338166666666667,0.3968634981597055,14.88,4.703959825159367,0.11096388888888889,0.026,0.2253521126760563,0.58,0.0,86,1.5,0.064,0.6031365018402944,0.11096388888888889,0.026,15.337739236692268
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,18,500,154499.39368345562,1287.4949473621302,0.43225,0.4014398538655778,14.944,5.684304353702944,0.11156111111111111,0.054,0.2550607287449393,0.554,0.0,74,1.5,0.116,0.5985601461344221,0.11156111111111111,0.054,15.409985298421217
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,19,500,162893.31719367055,1357.4443099472546,0.4297,0.4032093048301114,14.976,5.71658651492379,0.11202777777777778,0.038,0.2056451612903226,0.59,0.0,98,1.5,0.116,0.5967906951698885,0.11202777777777778,0.038,15.321309504339913
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,20,500,163195.347055418,1359.9612254618166,0.4297,0.3973296005168515,14.76,6.439595610090051,0.1115,0.034,0.2081632653061224,0.55,0.0,71,1.5,0.078,0.6026703994831485,0.1115,0.034,15.621947636976305
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,21,500,156584.7527798105,1304.872939831754,0.4272333333333333,0.4123314065510597,15.408,6.036103877019919,0.11296388888888889,0.05,0.2158859470468432,0.584,0.0,73,1.5,0.102,0.5876685934489403,0.11296388888888889,0.05,15.538645639415972
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,22,500,165489.9614827788,1379.08301235649,0.42685,0.4719470375309583,19.818,5.316807090873232,0.11855277777777778,0.116,0.1911468812877263,0.58,0.0,120,1.5,0.17,0.5280529624690418,0.11855277777777778,0.116,15.711635775402689
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,23,500,155062.64566617564,1292.188713884797,0.4391166666666666,0.4189491905101313,16.458,5.341654204723788,0.11240833333333333,0.044,0.1947791164658634,0.606,0.004,91,1.5,0.104,0.5810508094898686,0.11240833333333333,0.044,14.946845696015824
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,24,500,159542.72560896215,1329.522713408018,0.4229333333333333,0.4284222071342769,16.406,4.854903860084157,0.11483055555555556,0.048,0.2137096774193548,0.584,0.0,85,1.5,0.11,0.5715777928657231,0.11483055555555556,0.048,15.634144588018227
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,25,500,147138.92480463395,1226.1577067052829,0.4425833333333333,0.4094706093373648,15.98,4.354120966155751,0.11072777777777779,0.04,0.180161943319838,0.58,0.0,86,1.5,0.082,0.5905293906626352,0.11072777777777779,0.04,15.00656724726187
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,26,500,144455.05278380637,1203.7921065317198,0.43595,0.3902452169226623,14.482,5.374471186690405,0.11037777777777778,0.038,0.1915322580645161,0.556,0.0,80,1.5,0.07,0.6097547830773377,0.11037777777777778,0.038,15.34923909122629
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,27,500,187919.2902259461,1565.9940852162176,0.4237333333333333,0.4470032026841543,17.586,5.325534301921151,0.11631944444444445,0.042,0.2404040404040404,0.632,0.0,79,1.5,0.126,0.5529967973158456,0.11631944444444445,0.042,15.953627365524138
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,28,500,158677.5242909959,1322.312702424966,0.4232666666666667,0.4525924088315554,18.244,5.361335193580467,0.11708333333333333,0.086,0.2152917505030181,0.612,0.0,95,1.5,0.166,0.5474075911684446,0.11708333333333333,0.086,16.204422469476174
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,29,500,149204.80578023815,1243.3733815019846,0.4352,0.427970397404704,16.886,4.88130026241783,0.11412777777777779,0.062,0.2161616161616161,0.57,0.0,97,1.5,0.116,0.572029602595296,0.11412777777777779,0.062,16.050590194741726
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,30,500,180311.65645973868,1502.597137164489,0.4113833333333333,0.4459332638164755,17.106,5.375308798128204,0.1179888888888889,0.05,0.2181818181818181,0.664,0.0,81,1.5,0.146,0.5540667361835245,0.1179888888888889,0.05,16.497795216530225
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,31,500,170102.38499098513,1417.519874924876,0.42365,0.4139221556886227,15.484,5.885536435650615,0.11337222222222222,0.052,0.194331983805668,0.574,0.0,86,1.5,0.076,0.5860778443113772,0.11337222222222222,0.052,15.602028034654898
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,32,500,163549.05255120446,1362.9087712600372,0.42325,0.4547613158545634,18.386,4.962986048467626,0.11708055555555556,0.086,0.2535496957403651,0.602,0.002,97,1.5,0.166,0.5452386841454366,0.11708055555555556,0.086,15.825897210299917
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,33,500,170140.6315235897,1417.838596029914,0.4329833333333333,0.4153886145048089,15.98,5.07705608563053,0.11279444444444445,0.038,0.2181818181818181,0.61,0.0,92,1.5,0.094,0.5846113854951911,0.11279444444444445,0.038,15.461143474274108
adaptive_delta_1.5_repeated_shocks,adaptive_delta_1.5,none,none,none,34,500,171456.11858760464,1428.800988230039,0.4274833333333333,0.4360453246222948,17.086,5.236178595647158,0.11516944444444445,0.052,0.255533199195171,0.61,0.0,88,1.5,0.14,0.5639546753777052,0.11516944444444445,0.052,15.738917052329185
