scenario,governance_setting,governance_delta,governance_theta,governance_R_max,seed,run_length,cumulative_revenue,revenue_per_vehicle,fleet_utilization,unmet_demand_rate,avg_unmet_demand,price_volatility,spatial_imbalance,imbalance_persistence,oscillation_index,overload_frequency,low_idle_frequency,peak_unmet_demand,shock_profile,shock_multiplier,shock_type,service_rate,demand_supply_mismatch,persistence_demand_supply_mismatch,vehicle_concentration
interaction,none,none,none,none,1,500,62141.02283654087,517.8418569711739,0.30875,0.3072912063632346,6.954,3.7939954954057935,0.12276111111111111,0.006,0.2525458248472505,0.46,0.0,30,no_shock,1.0,none,0.6927087936367653,0.12276111111111111,0.006,26.18269186177597
interaction,none,none,none,none,2,500,59934.14342074238,499.45119517285315,0.3090333333333333,0.313399202634772,7.232,3.582443781208287,0.12274444444444445,0.006,0.2464358452138492,0.488,0.0,30,no_shock,1.0,none,0.6866007973652279,0.12274444444444445,0.006,26.026616217554867
interaction,none,none,none,none,3,500,53847.88592640411,448.73238272003425,0.32305,0.2873653795639611,6.564,3.0389785374663187,0.11976944444444444,0.0,0.2373225152129817,0.442,0.0,25,no_shock,1.0,none,0.7126346204360389,0.11976944444444444,0.0,25.144770432462508
interaction,none,none,none,none,4,500,59990.44668536079,499.9203890446733,0.3086,0.3059942413401972,7.014,3.731195987401589,0.12268888888888889,0.004,0.2434607645875251,0.498,0.0,24,no_shock,1.0,none,0.6940057586598027,0.12268888888888889,0.004,26.097391317895543
interaction,none,none,none,none,5,500,60607.83936470905,505.0653280392421,0.3015666666666666,0.3107232817560273,6.908,3.7501549774274463,0.12386944444444445,0.002,0.2955465587044534,0.456,0.0,27,no_shock,1.0,none,0.6892767182439726,0.12386944444444445,0.002,26.643195484734036
interaction,none,none,none,none,6,500,60788.74505498637,506.5728754582197,0.3061166666666666,0.3117444630724433,7.066,4.34480645534294,0.12315277777777778,0.004,0.2181818181818181,0.46,0.0,33,no_shock,1.0,none,0.6882555369275567,0.12315277777777778,0.004,26.521453015204113
interaction,none,none,none,none,7,500,59667.73859676484,497.2311549730403,0.3171833333333333,0.2943957968476357,6.724,4.18413034974252,0.12068611111111112,0.002,0.268595041322314,0.448,0.0,29,no_shock,1.0,none,0.7056042031523643,0.12068611111111112,0.002,26.03817233250601
interaction,none,none,none,none,8,500,59287.05349090575,494.0587790908813,0.3133333333333333,0.3002606429192007,6.912,3.658795651418705,0.12167222222222222,0.004,0.2917505030181087,0.464,0.0,25,no_shock,1.0,none,0.6997393570807993,0.12167222222222222,0.004,26.464247347714345
interaction,none,none,none,none,9,500,56099.07568053829,467.492297337819,0.3077166666666667,0.3049651644765852,6.916,3.915182047593563,0.122625,0.004,0.2611336032388664,0.482,0.0,30,no_shock,1.0,none,0.6950348355234148,0.122625,0.004,26.30838527184146
interaction,none,none,none,none,10,500,55911.233730805965,465.9269477567164,0.3094833333333333,0.3081497026932493,7.048,3.898149708683896,0.12227500000000001,0.006,0.2332657200811359,0.432,0.0,33,no_shock,1.0,none,0.6918502973067506,0.12227500000000001,0.006,26.720973252793286
governance,d2.0_t2.0_r25,2.0,2.0,25,1,500,66821.24221680361,556.8436851400301,0.27095,0.5184571862278341,15.028,6.546086593966652,0.1420611111111111,0.322,0.1204819277108433,0.748,0.0,44,no_shock,1.0,none,0.4815428137721659,0.1420611111111111,0.322,24.258258699962767
governance,d2.0_t2.0_r25,2.0,2.0,25,2,500,62347.74999169186,519.5645832640988,0.2841833333333333,0.474025974025974,13.286,5.164910771679103,0.13743055555555556,0.194,0.1703853955375253,0.764,0.0,42,no_shock,1.0,none,0.525974025974026,0.13743055555555556,0.194,25.28419765674201
governance,d2.0_t2.0_r25,2.0,2.0,25,3,500,62861.268464369925,523.8439038697494,0.2809,0.4706998467488871,12.9,6.013849622562792,0.13750833333333334,0.214,0.1726907630522088,0.778,0.0,37,no_shock,1.0,none,0.5293001532511129,0.13750833333333334,0.214,25.066313655080442
governance,d2.0_t2.0_r25,2.0,2.0,25,4,500,62292.73402317539,519.106116859795,0.2813166666666666,0.4744419399403766,13.05,6.0235351348566954,0.1376138888888889,0.204,0.1546184738955823,0.734,0.0,49,no_shock,1.0,none,0.5255580600596234,0.1376138888888889,0.204,24.08773271165971
governance,d2.0_t2.0_r25,2.0,2.0,25,5,500,64963.93561246441,541.3661301038701,0.27275,0.4696425901001944,12.562,5.541905819328871,0.13843055555555556,0.246,0.1726907630522088,0.718,0.0,54,no_shock,1.0,none,0.5303574098998056,0.13843055555555556,0.246,25.42626274170454
governance,d2.0_t2.0_r25,2.0,2.0,25,6,500,62880.242218524785,524.0020184877066,0.2778166666666666,0.4842726552940329,13.456,7.5459403410843695,0.13874444444444445,0.226,0.1024096385542168,0.72,0.0,54,no_shock,1.0,none,0.515727344705967,0.13874444444444445,0.226,24.24902148474874
governance,d2.0_t2.0_r25,2.0,2.0,25,7,500,65166.10972672745,543.0509143893954,0.2844,0.4498601979898738,11.906,5.061145183302357,0.1354861111111111,0.146,0.1967871485943775,0.712,0.0,44,no_shock,1.0,none,0.5501398020101262,0.1354861111111111,0.146,25.339303933396703
governance,d2.0_t2.0_r25,2.0,2.0,25,8,500,63341.42344354814,527.8451953629012,0.2736,0.5317342676189193,15.784,6.3621705208616985,0.14266666666666666,0.312,0.1471774193548387,0.806,0.0,54,no_shock,1.0,none,0.4682657323810807,0.14266666666666666,0.312,24.493101772692253
governance,d2.0_t2.0_r25,2.0,2.0,25,9,500,64696.23252986576,539.1352710822147,0.2823666666666666,0.4934691011235955,14.054,5.750792260053319,0.138825,0.238,0.1485943775100401,0.794,0.0,42,no_shock,1.0,none,0.5065308988764046,0.138825,0.238,24.579171689816825
governance,d2.0_t2.0_r25,2.0,2.0,25,10,500,63963.17241702687,533.0264368085573,0.2837833333333333,0.4729778483296053,13.11,5.144570492393926,0.13724166666666668,0.22,0.1232323232323232,0.724,0.0,46,no_shock,1.0,none,0.5270221516703947,0.13724166666666668,0.22,24.791192315338286
interaction_demand_shock,none,none,none,none,1,500,64755.20487279956,539.6267072733297,0.3187833333333333,0.3102455546147333,7.328,4.016369489133276,0.12139722222222223,0.002,0.2993890020366598,0.472,0.0,47,baseline,4.0,ramp,0.6897544453852666,0.12139722222222223,0.002,25.271415946693356
interaction_demand_shock,none,none,none,none,2,500,62000.86757201141,516.6738964334285,0.3299833333333333,0.2952396749046276,7.12,3.9705061462141216,0.11916111111111112,0.002,0.2627291242362525,0.42,0.0,36,baseline,4.0,ramp,0.7047603250953723,0.11916111111111112,0.002,23.930805250972288
interaction_demand_shock,none,none,none,none,3,500,68862.67787746902,573.8556489789084,0.3198833333333333,0.3060928845334469,7.184,3.807027033392232,0.12056111111111112,0.004,0.2799188640973631,0.394,0.0,48,baseline,4.0,ramp,0.693907115466553,0.12056111111111112,0.004,25.645633770501384
interaction_demand_shock,none,none,none,none,4,500,63553.76753080179,529.6147294233483,0.3202166666666666,0.2963317107093185,6.818,3.8004247599833834,0.12040555555555556,0.002,0.3279678068410462,0.452,0.0,51,baseline,4.0,ramp,0.7036682892906815,0.12040555555555556,0.002,25.239602362071665
interaction_demand_shock,none,none,none,none,5,500,63216.31353289232,526.8026127741027,0.31885,0.3141801075268817,7.48,4.199887134596759,0.12125833333333334,0.002,0.2246963562753036,0.464,0.0,46,baseline,4.0,ramp,0.6858198924731183,0.12125833333333334,0.002,25.46044910344519
