scenario,governance_setting,governance_delta,governance_theta,governance_R_max,seed,run_length,cumulative_revenue,revenue_per_vehicle,fleet_utilization,unmet_demand_rate,service_rate,avg_unmet_demand,price_volatility,spatial_imbalance,demand_supply_mismatch,imbalance_persistence,persistence_demand_supply_mismatch,vehicle_concentration,oscillation_index,overload_frequency,low_idle_frequency,peak_unmet_demand,trips_served,avg_price,avg_idle_vehicles,avg_price_C,avg_price_A,avg_price_R1
passive,none,none,none,none,1,500,77742.0,971.775,0.24895,0.4473548387096774,0.5526451612903226,6.934,0.0,0.13962083333333333,0.13962083333333333,0.222,0.222,16.46834935894752,0.0,0.732,0.0,22,4283,17.166666666666668,60.084,18.0,25.0,15.0
passive,none,none,none,none,2,500,80675.0,1008.4375,0.257625,0.3901098901098901,0.6098901098901099,5.68,0.0,0.1355625,0.1355625,0.134,0.134,15.240627716419173,0.0,0.652,0.0,20,4440,17.166666666666668,59.39,18.0,25.0,15.0
passive,none,none,none,none,3,500,83849.0,1048.1125,0.269275,0.3740002711129185,0.6259997288870816,5.518,0.0,0.13328333333333334,0.13328333333333334,0.088,0.088,13.912921510627553,0.0,0.65,0.0,18,4618,17.166666666666668,58.458,18.0,25.0,15.0
passive,none,none,none,none,4,500,77528.0,969.1,0.25055,0.4353190924771129,0.5646809075228871,6.562,0.0,0.13857916666666667,0.13857916666666667,0.214,0.214,17.716290711844675,0.0,0.706,0.0,23,4256,17.166666666666668,59.956,18.0,25.0,15.0
passive,none,none,none,none,5,500,82844.0,1035.55,0.264325,0.3910435825669732,0.6089564174330269,5.868,0.0,0.1348375,0.1348375,0.14,0.14,14.786203521003259,0.0,0.632,0.0,23,4569,17.166666666666668,58.854,18.0,25.0,15.0
passive,none,none,none,none,6,500,80755.0,1009.4375,0.25995,0.42582062548462135,0.5741793745153787,6.59,0.0,0.13707083333333334,0.13707083333333334,0.18,0.18,16.173630483782254,0.0,0.706,0.0,21,4443,17.166666666666668,59.204,18.0,25.0,15.0
passive,none,none,none,none,7,500,77156.0,964.45,0.247875,0.4360334084581731,0.5639665915418268,6.578,0.0,0.13905833333333334,0.13905833333333334,0.238,0.238,16.870358862314717,0.0,0.68,0.0,26,4254,17.166666666666668,60.17,18.0,25.0,15.0
passive,none,none,none,none,8,500,82644.0,1033.05,0.2648,0.3950485824570744,0.6049514175429256,5.936,0.0,0.1349,0.1349,0.138,0.138,14.203460102642401,0.0,0.652,0.0,19,4545,17.166666666666668,58.816,18.0,25.0,15.0
passive,none,none,none,none,9,500,79917.0,998.9625,0.253975,0.4117959617428268,0.5882040382571732,6.2,0.0,0.13725416666666668,0.13725416666666668,0.22,0.22,15.558870370042484,0.0,0.7,0.0,21,4428,17.166666666666668,59.682,18.0,25.0,15.0
passive,none,none,none,none,10,500,83763.0,1047.0375,0.266225,0.3935669456066946,0.6064330543933054,6.02,0.0,0.1348375,0.1348375,0.13,0.13,15.978286920673384,0.0,0.664,0.0,22,4638,17.166666666666668,58.702,18.0,25.0,15.0
passive,none,none,none,none,11,500,84817.0,1060.2125,0.2693,0.37579787234042555,0.6242021276595744,5.652,0.0,0.13355833333333333,0.13355833333333333,0.122,0.122,14.27845947428152,0.0,0.624,0.0,21,4694,17.166666666666668,58.456,18.0,25.0,15.0
passive,none,none,none,none,12,500,86337.0,1079.2125,0.275225,0.3708827404479578,0.6291172595520422,5.63,0.0,0.132525,0.132525,0.104,0.104,14.88982824220224,0.0,0.606,0.0,22,4775,17.166666666666668,57.982,18.0,25.0,15.0
passive,none,none,none,none,13,500,82755.0,1034.4375,0.262925,0.38731825525040386,0.6126817447495961,5.754,0.0,0.13483333333333333,0.13483333333333333,0.156,0.156,14.992263644560733,0.0,0.644,0.0,24,4551,17.166666666666668,58.966,18.0,25.0,15.0
passive,none,none,none,none,14,500,86216.0,1077.7,0.27505,0.3372690651479372,0.6627309348520628,4.856,0.0,0.13094166666666668,0.13094166666666668,0.11,0.11,13.39704204450085,0.0,0.544,0.0,20,4771,17.166666666666668,57.996,18.0,25.0,15.0
passive,none,none,none,none,15,500,78870.0,985.875,0.25305,0.4242544731610338,0.5757455268389662,6.402,0.0,0.13782916666666667,0.13782916666666667,0.198,0.198,17.526413223966244,0.0,0.68,0.0,19,4344,17.166666666666668,59.756,18.0,25.0,15.0
passive,none,none,none,none,16,500,84293.0,1053.6625,0.269225,0.3831453218314532,0.6168546781685468,5.774,0.0,0.133825,0.133825,0.154,0.154,13.536812223399666,0.0,0.61,0.0,20,4648,17.166666666666668,58.462,18.0,25.0,15.0
passive,none,none,none,none,17,500,82669.0,1033.3625,0.2648,0.3954659949622166,0.6045340050377834,5.966,0.0,0.1349625,0.1349625,0.138,0.138,15.237136417634742,0.0,0.664,0.0,18,4560,17.166666666666668,58.816,18.0,25.0,15.0
passive,none,none,none,none,18,500,72030.0,900.375,0.2323,0.49955566840167576,0.5004443315983242,7.87,0.0,0.14434583333333334,0.14434583333333334,0.36,0.36,19.513583906704227,0.0,0.798,0.0,23,3942,17.166666666666668,61.416,18.0,25.0,15.0
passive,none,none,none,none,19,500,82139.0,1026.7375,0.26234999999999997,0.3765609990393852,0.6234390009606148,5.488,0.0,0.134375,0.134375,0.142,0.142,14.271838722878528,0.0,0.612,0.0,18,4543,17.166666666666668,59.012,18.0,25.0,15.0
passive,none,none,none,none,20,500,79855.0,998.1875,0.2554,0.3925568573397657,0.6074431426602342,5.696,0.0,0.13596666666666668,0.13596666666666668,0.144,0.144,15.958949482710329,0.0,0.666,0.0,19,4407,17.166666666666668,59.568,18.0,25.0,15.0
passive,none,none,none,none,21,500,83808.0,1047.6,0.268525,0.3683057115463635,0.6316942884536365,5.378,0.0,0.13311666666666666,0.13311666666666666,0.112,0.112,14.705072479657588,0.0,0.606,0.0,23,4612,17.166666666666668,58.518,18.0,25.0,15.0
passive,none,none,none,none,22,500,81622.0,1020.275,0.260875,0.38725958259446186,0.6127404174055382,5.678,0.0,0.13501666666666667,0.13501666666666667,0.12,0.12,14.586794472742163,0.0,0.666,0.0,24,4492,17.166666666666668,59.13,18.0,25.0,15.0
passive,none,none,none,none,23,500,73933.0,924.1625,0.236825,0.4820975114271204,0.5179024885728796,7.594,0.0,0.14301666666666668,0.14301666666666668,0.292,0.292,18.922101152258627,0.0,0.722,0.0,26,4079,17.166666666666668,61.054,18.0,25.0,15.0
passive,none,none,none,none,24,500,80669.0,1008.3625,0.257075,0.3827724691870932,0.6172275308129068,5.528,0.0,0.1353375,0.1353375,0.142,0.142,15.811631211123748,0.0,0.64,0.0,23,4457,17.166666666666668,59.434,18.0,25.0,15.0
passive,none,none,none,none,25,500,81874.0,1023.425,0.263775,0.40344370860927153,0.5965562913907285,6.092,0.0,0.13539583333333333,0.13539583333333333,0.146,0.146,16.615873802340772,0.0,0.676,0.0,20,4504,17.166666666666668,58.898,18.0,25.0,15.0
passive,none,none,none,none,26,500,84563.0,1057.0375,0.27275,0.3754866425023493,0.6245133574976507,5.594,0.0,0.1328625,0.1328625,0.108,0.108,14.997207998724527,0.0,0.622,0.0,18,4652,17.166666666666668,58.18,18.0,25.0,15.0
passive,none,none,none,none,27,500,80569.0,1007.1125,0.25865,0.390665751544269,0.6093342484557309,5.692,0.0,0.13541666666666666,0.13541666666666666,0.16,0.16,14.911774895254148,0.0,0.626,0.0,18,4439,17.166666666666668,59.308,18.0,25.0,15.0
